Station
High Barnet 
Totteridge & Whetstone
Woodside Park 
West Finchley 
Mill Hill East(shuttle trains to and from Finchley Central)
Finchley Central 
East Finchley
Highgate
Archway
Tufnell Park
Kentish Town
Edgware 
Burnt Oak
Colindale
Hendon Central 
Brent Cross
Golders Green 
Hampstead
Belsize Park
Chalk Farm
Camden Town
Mornington Crescent
Euston  
Warren Street
Goodge Street
Tottenham Court Road
Leicester Square
Charing Cross 
Embankment(Embankment Pier)
"Waterloo  ( Waterloo Pier, Festival Pier)"
King's Cross St. Pancras   (Trains Gatwickand Luton)
Angel
Old Street 
Moorgate 
Bank 
London Bridge   ( Trains toGatwick andLuton) (London Bridge City Pier) 
Borough
Elephant & Castle 
Kennington
Oval
Stockwell
Clapham North
Clapham Common
Clapham South
Balham 
Tooting Bec
Tooting Broadway
Colliers Wood
South Wimbledon
Morden
