Station
Richmond 
Kew Gardens
Gunnersbury
Ealing Broadway
Ealing Common
Acton Town
Chiswick Park
Turnham Green
Stamford Brook
Ravenscourt Park
Hammersmith
Barons Court
West Kensington
Wimbledon 
Wimbledon Park
Southfields 
East Putney
Putney Bridge
Parsons Green
Fulham Broadway 
West Brompton 
Kensington (Olympia) 
Earl's Court 
High Street Kensington
Notting Hill Gate
Bayswater
Paddington
Edgware Road
Gloucester Road
South Kensington
Sloane Square
Victoria
St James's Park
Westminster 
Embankment
Temple
Blackfriars 
Mansion House
Cannon Street (WB)
Monument
Tower Hill
Aldgate East
Whitechapel
Stepney Green
Mile End
Bow Road
Bromley-by-Bow
West Ham 
Plaistow
Upton Park
East Ham 
Barking 
Upney 
Becontree
Dagenham Heathway 
Dagenham East
Elm Park 
Hornchurch
Upminster Bridge
Upminster 
