Station
Walthamstow Central 
Blackhorse Road 
Tottenham Hale  
Seven Sisters  
Finsbury Park 
Highbury & Islington 
King's Cross St. Pancras  
Euston  
Warren Street
Oxford Circus
Green Park 
Victoria  ( Trains to Gatwick)
Pimlico
Vauxhall 
Stockwell
Brixton
